Voltages,Currents,V_errors,C_errors
0.26748046875,4.8828125e-06,0.0,3.986799711561163e-06
0.270703125,0.0,0.002631287809630376,0.0
0.26962890624999997,1.953125e-05,0.004641155448078537,1.594719884624465e-05
0.26748046875,1.953125e-05,0.009961894868208277,7.973599423122325e-06
0.27499999999999997,2.4414062499999998e-05,0.006139671555804185,1.9933998557805813e-05
0.26748046875,0.0,0.009240779095455948,0.0
0.28359375,4.8828125e-06,0.0015191747252054784,3.986799711561163e-06
0.29111328124999997,0.0,0.0031624143727085395,0.0
0.2921875,0.0,0.00232057772403927,0.0
0.2814453125,2.4414062499999995e-05,0.009884369216163084,1.0548080563814874e-05
0.28466796875,1.9531249999999997e-05,0.007646345102366173,1.0548080563814874e-05
0.2921875,4.8828125e-06,0.005335166298283362,3.986799711561163e-06
